Against,Balls,Mdns,Runs,Wkts,BB,Ave,4wI,5wI,SRate,Econ
(United Arab Emirates),108,0,80,1,17958,16,0,0,21.6,4.44
(Pakistan),54,2,28,1,43160,5.6,0,0,10.8,3.11
(Australia),537,3,374,1,46784,46.75,0,0,67.12,4.17
(India),234,4,149,1,41334,24.83,0,0,39,3.82
(United Arab Emirates),232,2,182,0,18660,45.5,0,0,58,4.7
(Pakistan),120,3,92,0,46023,46,0,0,60,4.6
(United Arab Emirates),174,0,136,0,13912,68,0,0,87,4.68
(Australia),254,2,170,1,11720,28.33,0,0,42.33,4.01
(Pakistan),372,4,249,1,42064,41.5,0,0,62,4.01
(New Zealand),108,0,81,0,44562,81,0,0,108,4.5
