"﻿Season","att2","Balls","Mdns","Runs","Wkts","BB","Ave","4wI","5wI","SRate","Econ"
"1974","(England)",102,2,52,2,42401,26.0,0,0,51.0,3.05
"1975","(England)",103,3,59,5,42064,11.8,0,0,20.6,3.43
"1976-77","(Pakistan)",56,0,36,1,13150,36.0,0,0,56.0,3.85
"1976-77","(West Indies)",54,1,41,1,14977,41.0,0,0,54.0,4.55
"1978-79","(Pakistan)",90,1,60,0,29890,29.506176470588237,0,0,45.103529411764704,4.0
"1979","(England)",253,7,123,5,47150,24.6,0,0,50.6,2.91
"1980-81","(Pakistan)",90,4,44,2,41640,22.0,0,0,45.0,2.93
"1981-82","(Pakistan)",72,2,30,2,44106,15.0,0,0,36.0,2.5
"1981-82","(Australia)",580,9,305,15,43525,20.33,0,0,38.66,3.15
"1982","(England)",132,3,83,4,12816,20.75,0,0,33.0,3.77
"1982-83","(Pakistan)",222,10,128,5,42036,25.6,0,0,44.4,3.45
"1983","(England)",207,0,0,0,29890,29.506176470588237,0,0,45.103529411764704,0.0
"1983-84","(Australia)",207,0,0,0,29890,29.506176470588237,0,0,45.103529411764704,0.0
"1984-85","(United Arab Emirates)",114,4,40,7,41791,5.71,0,1,16.28,2.1
"1984-85","(Australia)",255,5,151,7,46447,21.57,0,0,36.42,3.55
"1985-86","(Sri Lanka)",144,5,60,4,44137,15.0,0,0,36.0,2.5
"1985-86","(United Arab Emirates)",163,4,95,4,14642,23.75,0,0,40.75,3.49
"1985-86","(Pakistan)",342,4,252,7,14305,36.0,0,0,48.85,4.42
"1986-87","(Australia)",204,4,132,5,10990,26.4,0,0,40.8,3.88
"1986-87","(India)",336,6,250,6,15008,41.66,0,0,56.0,4.46
"1986-87","(Pakistan)",207,6,130,5,13547,26.0,0,0,41.4,3.76
"1986-87","(United Arab Emirates)",252,3,145,9,46478,16.11,1,0,28.0,3.45
"1987","(England)",168,1,104,4,11355,26.0,0,0,42.0,3.71
"1987-88","(West Indies)",234,2,257,8,13210,32.12,0,0,29.25,6.58
"1987-88","(Pakistan)",299,6,222,17,13606,13.05,2,0,17.58,4.45
"1988-89","(Australia)",436,6,293,7,15373,41.85,0,0,62.28,4.03
"1988-89","(New Zealand)",264,3,157,5,45323,31.4,0,0,52.8,3.56
"1988-89","(United Arab Emirates)",108,0,80,5,17958,16.0,0,0,21.6,4.44
"1989-90","(Pakistan)",54,2,28,5,43160,5.6,0,0,10.8,3.11
"1989-90","(Australia)",537,3,374,8,46784,46.75,0,0,67.12,4.17
"1989-90","(India)",234,4,149,6,41334,24.83,0,0,39.0,3.82
"1989-90","(United Arab Emirates)",232,2,182,4,18660,45.5,0,0,58.0,4.7
"1990-91","(United Arab Emirates)",96,3,54,0,29890,29.506176470588237,0,0,45.103529411764704,3.37
"1990-91","(Pakistan)",120,3,92,2,46023,46.0,0,0,60.0,4.6
"1991-92","(United Arab Emirates)",174,0,136,2,13912,68.0,0,0,87.0,4.68
"1991-92","(Australia)",254,2,170,6,11720,28.33,0,0,42.33,4.01
"1991-92","(Pakistan)",372,4,249,6,42064,41.5,0,0,62.0,4.01
"1991-92","(New Zealand)",108,0,81,1,44562,81.0,0,0,108.0,4.5
